factor_id,layer,variable,definition,direction,OR_mle,rank_biserial,firth_fdr_q,trigger_bin,trigger_condition,trigger_pct,threshold_p33,threshold_p67,risky_median,safe_median
L1-16,1,Attr14,Attr14,risk-reducing,0.7071,0.2433,0.0,LOW,<= -0.0084,bottom 33%,-0.0084,0.0548,-0.0105,0.0225
L1-17,1,Attr18,Attr18,risk-reducing,0.707,0.2433,0.0,LOW,<= -0.0084,bottom 33%,-0.0084,0.0548,-0.0105,0.0225
L1-18,1,Attr52,short-term liabilities / sales,risk-increasing,1.2181,-0.1172,0.0,HIGH,>= 0.3590,top 33%,0.1847,0.359,0.3056,0.2568
L1-19,1,Attr24,gross profit (3-year avg) / total assets,risk-reducing,0.7647,0.2523,0.0,LOW,<= -0.0021,bottom 33%,-0.0021,0.1516,0.002,0.071
L1-20,1,Attr39,Attr39,risk-reducing,0.7232,0.2573,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.0343,-0.009,0.0167
L1-21,1,Attr13,gross profit + depreciation / sales,risk-reducing,0.7336,0.2576,0.0,LOW,<= 0.0103,bottom 33%,0.0103,0.0535,0.0047,0.0333
L1-22,1,Attr35,total sales / total assets (alt),risk-reducing,0.6604,0.2607,0.0,LOW,<= 0.0000,bottom 33%,0.0,0.0652,-0.0158,0.0297
L1-23,1,equity_to_assets,equity_to_assets,risk-reducing,0.7469,0.1675,0.0,LOW,<= 0.2268,bottom 33%,0.2268,0.473,0.2666,0.3523
L1-24,1,total_liabilities_to_assets,total_liabilities_to_assets,risk-increasing,1.3302,-0.1635,0.0,HIGH,>= 0.7549,top 33%,0.5018,0.7549,0.7113,0.6249
L1-25,1,Attr23,Attr23,risk-reducing,0.7624,0.2371,0.0,LOW,<= -0.0052,bottom 33%,-0.0052,0.0236,-0.0061,0.0096
L1-26,1,Attr38,total liabilities / total assets (alt),risk-reducing,0.7291,0.1782,0.0,LOW,<= 0.3376,bottom 33%,0.3376,0.5777,0.3682,0.4696
L1-27,1,retained_earnings_to_assets,Attr6  — retained earnings / total assets,risk-reducing,0.8163,0.1765,9.375216652390213e-16,LOW,<= -0.0004,bottom 33%,-0.0004,0.0,0.0,0.0
L1-28,1,Attr55,profit on operating activities (×1000) / short-term liabilities,risk-reducing,0.7749,0.2101,2.775941381522833e-11,LOW,<= -65.9609,bottom 33%,-65.9609,1135.306,2.778,303.2
L1-29,1,Attr56,net profit / total assets - ROA,risk-reducing,0.8359,0.1298,2.835874225104068e-09,LOW,<= 0.0004,bottom 33%,0.0004,0.0454,0.0082,0.022
L1-30,1,Attr29,log(total assets),risk-reducing,0.8342,0.0897,1.3500861273385568e-08,LOW,<= 3.5406,bottom 33%,3.5406,4.2349,3.817,3.9044
L1-31,1,Attr41,short-term liabilities / total assets,risk-reducing,0.8013,0.1581,1.1235186222229513e-07,LOW,<= 0.0673,bottom 33%,0.0673,0.2203,0.061,0.1341
L1-32,1,Attr57,total assets / current liabilities,risk-reducing,0.8705,0.1249,5.954892533306666e-06,LOW,<= 0.0051,bottom 33%,0.0051,0.1624,0.0199,0.0686
L1-33,1,Attr12,Attr12,risk-reducing,0.8388,0.2434,8.8344117741481e-05,LOW,<= -0.0150,bottom 33%,-0.015,0.1257,-0.0234,0.0488
L1-34,1,cash_to_current_liabilities,Attr5  — cash / current liabilities,risk-reducing,0.8937,0.1445,0.0004158867511887,LOW,<= -60.7390,bottom 33%,-60.739,-1.7378,-45.599,-25.869
L1-35,1,Attr26,gross profit / (depreciation × total assets),risk-reducing,0.8264,0.2861,0.0005651550136194,LOW,<= 0.0244,bottom 33%,0.0244,0.1642,0.0123,0.0951
L1-36,1,Attr16,Attr16,risk-reducing,0.828,0.2827,0.0006353222355758,LOW,<= 0.0271,bottom 33%,0.0271,0.1812,0.0131,0.1039
L1-37,1,Attr58,total costs / total sales,risk-increasing,1.1111,-0.0807,0.0010436056643594,HIGH,>= 0.9991,top 33%,0.9578,0.9991,0.9891,0.9814
L1-38,1,Attr21,sales (t) / sales (t-1),risk-reducing,0.8959,0.0751,0.001697134966938,LOW,<= 0.9625,bottom 33%,0.9625,1.0756,1.0452,1.0452
L1-39,1,Attr53,short-term liabilities / total assets,risk-reducing,0.8953,0.1678,0.0098162386185709,LOW,<= 0.5836,bottom 33%,0.5836,1.3045,0.6774,0.9324
L1-40,1,Attr63,sales / short-term liabilities,risk-reducing,0.905,0.1706,0.0103154036791617,LOW,<= 2.8383,bottom 33%,2.8383,5.4378,3.0543,3.9797
L1-41,1,Attr54,Attr54,risk-reducing,0.8989,0.1926,0.0118305719168879,LOW,<= 0.8523,bottom 33%,0.8523,1.4904,0.8973,1.1383
L1-42,1,Attr45,profit on sales / sales,risk-reducing,0.8984,0.2048,0.0185408394109649,LOW,<= 0.0000,bottom 33%,0.0,0.2828,0.0053,0.1032
L1-43,1,Attr28,Attr28,risk-reducing,0.9151,0.1786,0.0286081033126078,LOW,<= -0.0358,bottom 33%,-0.0358,0.6211,0.022,0.2484
L1-44,1,Attr15,total liabilities × 365 / (gross profit + depreciation),risk-reducing,0.9286,0.1408,0.0290000718666521,LOW,<= 490.3317,bottom 33%,490.3317,2590.815,289.81,1468.7
