antecedents_str,consequents_str,support,confidence,lift,lift_vs_baseline,conf_safe,conf_diff
Attr25=LOW,Attr35=LOW,0.3049119555143652,0.6463654223968566,1.1861025353166805,7.523957094814198,0.4741474147414741,0.17221800765538248
Attr24=LOW,Attr46=LOW,0.3113994439295644,0.6449136276391555,1.193588000381902,7.507057611814452,0.4616445916114791,0.1832690360276764
Attr30=HIGH,Attr13=LOW,0.283595922150139,0.6442105263157895,1.239043062200957,7.4988732256963075,0.45286103542234335,0.1913494908934461
Attr38=LOW,cash_to_current_liabilities=LOW,0.29842446709916587,0.6439999999999999,1.5073232104121472,7.496422613531046,0.5275720164609053,0.11642798353909456
Attr52=HIGH,Attr25=LOW,0.267840593141798,0.6436525612472161,1.3644422663767115,7.4923782847683364,0.49783549783549785,0.1458170634117183
Attr52=HIGH,Attr35=LOW,0.267840593141798,0.6436525612472161,1.1811243428329017,7.4923782847683364,0.3768939393939394,0.26675862185327676
Attr63=LOW,Attr25=LOW,0.29008341056533826,0.6427104722792608,1.3624451858336393,7.4814119850116,0.5185893931109896,0.1241210791682712
Attr38=LOW,Attr26=LOW,0.2974976830398517,0.6419999999999999,1.19640414507772,7.473141797961074,0.46172839506172836,0.18027160493827155
Attr63=LOW,Attr13=LOW,0.2891566265060241,0.6406570841889117,1.2322085451690477,7.457509710299102,0.4499726626571897,0.19068442153172194
Attr49=LOW,Attr46=LOW,0.293790546802595,0.6391129032258065,1.1828521828141427,7.4395348141947455,0.4236777199232666,0.2154351833025399
Attr26=LOW,Attr46=LOW,0.34291010194624655,0.6390328151986184,1.1827039581463281,7.438602556899581,0.43858665171060013,0.2004461634880183
Attr13=LOW,Attr46=LOW,0.33178869323447635,0.6381461675579322,1.1810629756346636,7.428281616800398,0.4165736607142857,0.2215725068436465
working_capital_to_assets=LOW,Attr35=LOW,0.29101019462465244,0.6369168356997972,1.1687640573470768,7.413971692668631,0.40963855421686746,0.22727828148292972
working_capital_to_assets=LOW,Attr13=LOW,0.29008341056533826,0.6348884381338742,1.2211134130952768,7.390360317851214,0.44249726177437015,0.19239117635950403
Attr46=LOW,Attr26=LOW,0.34291010194624655,0.6346483704974272,1.1827039581463281,7.3875658326669935,0.43907916900617633,0.19556920149125084
retained_earnings_to_assets=LOW,Attr41=LOW,0.2798887859128823,0.634453781512605,1.272445409390522,7.385300737533197,0.4279095121286454,0.2065442693839596
Attr55=LOW,Attr13=LOW,0.283595922150139,0.6335403726708074,1.2185206098249577,7.3746682861402615,0.4216275259421082,0.21191284672869926
Attr24=LOW & retained_earnings_to_assets=LOW,cash_to_current_liabilities=LOW,0.20111214087117701,0.6326530612244898,1.4807649741024393,7.3643396190728385,0.5271885846509834,0.10546447657350644
Attr24=LOW & retained_earnings_to_assets=LOW,Attr38=LOW,0.20018535681186284,0.6297376093294461,1.3589737609329446,7.330402570137019,0.5028924026224451,0.12684520670700106
Attr30=HIGH,Attr24=LOW,0.27710843373493976,0.6294736842105263,1.303650873825639,7.327330374128092,0.5021798365122616,0.12729384769826468
cash_to_current_liabilities=LOW,Attr35=LOW,0.26876737720111216,0.6290672451193059,1.1543597916389983,7.322599257366527,0.3764929424538545,0.2525743026654514
Attr58=HIGH,Attr46=LOW,0.2622798887859129,0.6274944567627495,1.1613490889314009,7.304291359536732,0.41468039003250273,0.21281406673024678
Attr55=LOW,Attr35=LOW,0.2808155699721965,0.6273291925465838,1.151170406050619,7.302367616668298,0.3915892954669579,0.2357398970796259
Attr29=LOW,Attr26=LOW,0.2242817423540315,0.6269430051813472,1.1683445640598853,7.297872238255533,0.3788241553604682,0.24811884982087895
Attr43=HIGH,Attr26=LOW,0.2428174235403151,0.6267942583732057,1.168067365776665,7.296140764752051,0.4011269117252482,0.22566734664795746
Attr20=HIGH,Attr35=LOW,0.2381835032437442,0.6253041362530414,1.1474543588725028,7.278795135623911,0.35806106052490627,0.2672430757281351
Attr30=HIGH,Attr38=LOW,0.2752548656163114,0.6252631578947369,1.349317894736842,7.278318130822887,0.467574931880109,0.15768822601462784
working_capital_to_assets=LOW,Attr24=LOW,0.28544949026876737,0.6247464503042597,1.2938606907452903,7.272303443764136,0.4961664841182913,0.1285799661859684
Attr52=HIGH,Attr13=LOW,0.2594995366079703,0.6236080178173719,1.1994172036095263,7.259051625381085,0.4158549783549784,0.20775303946239343
Attr20=HIGH,Attr52=HIGH,0.23725671918443003,0.6228710462287105,1.4968326478413778,7.250472975563118,0.4903588644884842,0.13251218174022628
retained_earnings_to_assets=LOW,Attr56=LOW,0.2743280815569972,0.6218487394957983,1.3693363059509518,7.238572908310683,0.5181248296538566,0.10372390984194169
Attr29=LOW,Attr13=LOW,0.22242817423540315,0.6217616580310881,1.1958660053753012,7.237559244550942,0.39664804469273746,0.22511361333835062
Attr46=LOW,Attr38=LOW,0.3345690454124189,0.6192109777015438,1.3362572898799314,7.207868285385904,0.506457046603032,0.11275393109851173
cash_to_current_liabilities=LOW,Attr13=LOW,0.26413345690454126,0.6182212581344902,1.1890565731321123,7.196347546032621,0.41558089033659074,0.2026403677978995
Attr63=LOW,Attr24=LOW,0.2789620018535681,0.6180698151950719,1.2800332640988148,7.194584688461634,0.5002733734281027,0.11779644176696913
Attr46=LOW,Attr35=LOW,0.33271547729379053,0.6157804459691252,1.1299780632664729,7.167935497101217,0.39023020774845596,0.22555023822066922
Attr46=LOW & cash_to_current_liabilities=LOW,Attr56=LOW,0.20111214087117701,0.6147308781869688,1.353662484823958,7.155718100118933,0.4190154077414506,0.19571547044551824
Attr56=LOW,Attr46=LOW,0.2789620018535681,0.6142857142857143,1.136902719921588,7.150536210777176,0.3928864569083448,0.22139925737736954
Attr46=LOW,Attr13=LOW,0.33178869323447635,0.614065180102916,1.1810629756346638,7.147969102958874,0.41914654688377323,0.19491863321914277
Attr46=LOW,Attr25=LOW,0.33178869323447635,0.614065180102916,1.30172166862681,7.147969102958874,0.49859629421673224,0.11546888588618376
Attr63=LOW,Attr49=LOW,0.27710843373493976,0.6139630390143738,1.335617175597801,7.1467801390366406,0.4740295243302351,0.13993351468413867
Attr20=HIGH,Attr26=LOW,0.23354958294717332,0.6131386861313869,1.1426194168147954,7.137184335319944,0.37439742903053025,0.23874125710085664
Attr55=LOW,Attr24=LOW,0.2743280815569972,0.6128364389233955,1.2691948514363602,7.13366605456705,0.4759694156198799,0.13686702330351558
Attr35=LOW,Attr46=LOW,0.33271547729379053,0.6105442176870748,1.1299780632664729,7.106983664642873,0.3907787461343829,0.21976547155269188
Attr30=HIGH,Attr49=LOW,0.26876737720111216,0.6105263157894737,1.3281409168081495,7.106775279254671,0.49455040871934614,0.11597590707012756
Attr21=LOW,Attr41=LOW,0.21316033364226136,0.610079575596817,1.2235610819125755,7.101575041238204,0.403927813163482,0.20615176243333505
Attr21=LOW,Attr45=LOW,0.21316033364226136,0.610079575596817,1.2983744813983542,7.101575041238204,0.4538216560509554,0.1562579195458616
Attr21=LOW,Attr49=LOW,0.21223354958294718,0.6074270557029178,1.3213987764182427,7.070698628015429,0.4551486199575372,0.15227843574538058
cash_to_current_liabilities=LOW,Attr20=HIGH,0.2594995366079703,0.6073752711496745,1.5945448116070529,7.070095834698714,0.501900108577633,0.10547516257204148
retained_earnings_to_assets=LOW,Attr38=LOW,0.267840593141798,0.6071428571428572,1.3102142857142858,7.067390440884418,0.4897792313982012,0.11736362574465603
Attr38=LOW,Attr13=LOW,0.2808155699721965,0.606,1.1655508021390375,7.054087117701576,0.4474622770919067,0.15853772290809326
Attr25=LOW & Attr46=LOW,Attr41=LOW,0.20018535681186284,0.6033519553072626,1.2100683267221866,7.023262797645244,0.4144144144144144,0.1889375408928482
cash_to_current_liabilities=LOW,Attr24=LOW,0.25764596848934196,0.6030368763557483,1.2488997880764923,7.019595150165152,0.46796959826275786,0.13506727809299046
Attr49=LOW,Attr63=LOW,0.27710843373493976,0.6028225806451614,1.335617175597801,7.017100660707347,0.47519868457111536,0.127623896074046
working_capital_to_assets=LOW,Attr45=LOW,0.2752548656163114,0.6024340770791076,1.2821032922452802,7.012578320772559,0.465224534501643,0.1372095425774646
Attr30=HIGH,Attr45=LOW,0.26506024096385544,0.6021052631578948,1.28140350877193,7.008750792644262,0.4880108991825613,0.11409436397533351
Attr38=LOW,Attr35=LOW,0.2789620018535681,0.602,1.1046904761904761,7.007525486561631,0.370644718792867,0.231355281207133
